rpm_variation,harsh_braking_count,idling_time,fuel_consumption,acceleration_smoothness
2147,5,14.2,7.87,0.97
1703,3,4.2,9.37,0.5
2253,0,5.5,8.85,0.78
2866,3,21.7,5.87,0.6
1636,2,3.1,6.71,0.99
1636,2,0.0,8.33,0.24
2905,4,18.5,8.06,0.67
2337,4,12.2,9.25,0.54
1471,2,13.3,8.36,0.87
2179,2,14.8,8.59,0.46
1475,5,7.5,8.4,0.61
1473,2,14.9,7.31,0.96
1969,2,0.0,6.75,0.57
500,0,9.7,7.7,0.89
592,2,14.4,7.84,0.67
1406,2,11.2,6.57,0.45
1091,1,2.7,6.19,0.48
2019,2,10.4,7.83,0.67
1164,2,18.5,7.77,0.8
811,1,12.0,6.62,0.95
2825,2,7.4,8.0,0.84
1641,1,9.1,7.4,0.69
1847,6,20.0,10.9,0.46
802,7,24.3,8.4,0.54
1418,1,0.4,6.84,0.63
994,1,14.2,8.64,0.7
2062,3,6.9,8.79,0.66
1379,2,12.9,8.83,0.56
1595,3,10.3,8.77,0.35
1378,5,9.6,8.18,0.61
3096,2,9.7,8.12,0.7
1790,1,2.2,7.57,0.59
1059,3,12.0,9.75,0.95
2375,4,10.5,9.5,0.62
945,4,11.5,8.64,0.5
1946,2,8.9,9.31,0.86
500,7,15.5,9.83,0.39
870,1,5.5,4.15,0.86
1937,0,0.0,4.69,0.86
2316,3,21.4,7.72,0.49
1919,4,21.4,8.65,0.84
1719,3,15.3,9.76,0.62
1589,1,7.2,9.61,0.64
765,1,13.1,7.35,0.61
1296,1,0.5,6.83,0.53
1477,5,18.6,8.38,0.66
2539,1,6.6,7.84,0.76
2040,3,5.0,9.69,0.51
565,2,16.2,6.53,0.64
2026,2,12.9,7.62,0.44
1530,3,9.2,4.87,0.81
1326,3,11.4,9.02,0.56
2228,3,7.0,7.42,0.55
2521,1,11.8,6.43,0.79
2451,6,17.6,8.13,0.43
1212,2,12.3,6.98,0.83
1583,4,2.1,9.15,0.67
2031,4,14.0,10.06,0.6
2482,4,7.2,8.5,0.34
1464,3,16.1,6.33,1.0
1670,0,7.7,6.54,0.37
1025,0,18.9,8.2,0.56
962,2,7.6,4.67,0.75
2368,1,2.2,7.57,0.68
2749,1,5.0,8.33,1.0
2502,4,7.4,9.83,0.49
2053,5,2.1,10.22,0.87
1348,4,16.0,7.96,0.7
2052,3,22.0,10.04,0.71
2876,2,17.3,6.51,0.75
1774,3,9.8,7.71,0.92
2895,2,7.5,10.58,0.74
500,0,7.7,6.43,0.66
2375,3,17.3,7.68,0.64
1860,2,7.5,10.39,0.55
1590,3,10.6,8.53,0.8
500,1,9.9,6.33,0.91
1646,5,21.1,7.77,0.44
2049,1,10.8,7.3,0.66
2834,2,10.2,8.83,0.56
1437,0,7.9,4.1,0.6
1448,5,16.2,10.78,0.71
2440,3,14.1,10.83,0.74
1429,1,15.0,7.47,0.82
2159,3,12.2,7.27,0.51
1867,4,11.5,9.07,0.83
2478,1,16.8,9.4,0.93
1308,3,4.3,8.43,0.54
1570,2,12.6,8.68,0.32
1525,1,12.5,5.46,0.7
775,1,10.6,6.05,0.67
2007,4,10.1,7.65,0.72
1982,2,21.4,7.52,0.74
1803,3,15.2,9.87,0.76
1635,2,5.8,7.51,0.63
809,4,9.6,6.95,0.84
1505,2,1.3,6.11,0.78
1560,0,7.2,5.92,0.61
1238,2,20.7,8.07,0.82
1687,0,0.9,5.26,0.85
